"公司","Vision","Vision依据","Vision来源URL","Vision证据","Mission","Mission依据","Mission来源URL","Mission证据","Value Proposition","VP依据","VP来源URL","VP证据","Slogan","Slogan依据","Slogan来源URL","Slogan证据","状态","候选官方来源","搜索Query","Wiki页"
"荣耀机器人","","","","","","","","","群策群力、分享交流、建言献策的智库平台，以推动中国经济转型与改革开放、助力中国成为社会主义现代化强国为己任","显式字段","https://www.21jingji.com/channel/aboutus/","2015年，21探索智库转型，致力于打造群策群力、分享交流、建言献策的智库平台，以推动中国经济转型与改革开放、助力中国成为社会主义现代化强国为己任，财经媒体型智库——21世纪经济研究院于同年11月正式挂牌成立","","","","","已搜索并抓取官方来源","HONOR Robot Phone-荣耀机器人手机-用户许愿计划 | 荣耀 ... <https://www.honor.com/cn/activity/honor-robot-phone/> ; 荣耀机器人半马夺冠，A股供应链“喜忧参半” - 21经济网 <https://www.21jingji.com/article/20260420/herald/c00d196e3dca49d328c4d78bbecd27ed.html>","""荣耀机器人"" 官网 ; ""荣耀机器人"" 愿景 使命 价值观 ; ""荣耀机器人"" 价值主张 口号 ; ""荣耀机器人"" 公众号 使命","entities/荣耀机器人.html"
"融海微机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""融海微机器人"" 官网 ; ""融海微机器人"" 愿景 使命 价值观 ; ""融海微机器人"" 价值主张 口号 ; ""融海微机器人"" 公众号 使命","entities/融海微机器人.html"
"睿尔曼智能","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""睿尔曼智能"" 官网 ; ""睿尔曼智能"" 愿景 使命 价值观 ; ""睿尔曼智能"" 价值主张 口号 ; ""睿尔曼智能"" 公众号 使命","entities/睿尔曼智能.html"
"若贝特","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""若贝特"" 官网 ; ""若贝特"" 愿景 使命 价值观 ; ""若贝特"" 价值主张 口号 ; ""若贝特"" 公众号 使命","entities/若贝特.html"
"飒智智能","","","","","","","","","深化新规理解，推动数字赋能——协会举办金融产品网络营销新规闭门研讨会","官网正文","http://www.asifi.org/associationNews/index","深化新规理解，推动数字赋能——协会举办金融产品网络营销新规闭门研讨会","","","","","已搜索并抓取官方来源","上海飒智智能科技有限公司 <http://www.asifi.org/member/publicity/detail/244>","""飒智智能"" 官网 ; ""飒智智能"" 愿景 使命 价值观 ; ""飒智智能"" 价值主张 口号 ; ""飒智智能"" 公众号 使命","entities/飒智智能.html"
"赛博格机器人","","","","","","","","","您在人形机器人行业研究、分析和发现方面的权威来源","官网描述","https://www.robothub.app/zh/about","description: 您在人形机器人行业研究、分析和发现方面的权威来源","","","","","已搜索并抓取官方来源","深圳赛博格机器人有限公司-展商信息-2026世界机器人大会 ... <https://www.worldrobotconference.com/expo/company/499.html> ; 赛博格机器人 <https://www.cyb-org.cn/> ; 赛博格机器人 | RobotHub <https://www.robothub.app/zh/companies/cyborg-robotics> ; 深圳赛博格机器人有限公司 <https://www.apsoto.com/supplier/659992>","""赛博格机器人"" 官网 ; ""赛博格机器人"" 愿景 使命 价值观 ; ""赛博格机器人"" 价值主张 口号 ; ""赛博格机器人"" 公众号 使命","entities/赛博格机器人.html"
"赛力斯凤凰","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""赛力斯凤凰"" 官网 ; ""赛力斯凤凰"" 愿景 使命 价值观 ; ""赛力斯凤凰"" 价值主张 口号 ; ""赛力斯凤凰"" 公众号 使命","entities/赛力斯凤凰.html"
"赛那德","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""赛那德"" 官网 ; ""赛那德"" 愿景 使命 价值观 ; ""赛那德"" 价值主张 口号 ; ""赛那德"" 公众号 使命","entities/赛那德.html"
"深穹星核","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""深穹星核"" 官网 ; ""深穹星核"" 愿景 使命 价值观 ; ""深穹星核"" 价值主张 口号 ; ""深穹星核"" 公众号 使命","entities/深穹星核.html"
"深圳探真智能","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""深圳探真智能"" 官网 ; ""深圳探真智能"" 愿景 使命 价值观 ; ""深圳探真智能"" 价值主张 口号 ; ""深圳探真智能"" 公众号 使命","entities/深圳探真智能.html"
"史河机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""史河机器人"" 官网 ; ""史河机器人"" 愿景 使命 价值观 ; ""史河机器人"" 价值主张 口号 ; ""史河机器人"" 公众号 使命","entities/史河机器人.html"
"世航智能","","","","","","","","","世航智能是全球领先的海洋具身机器人公司，专注于海洋通用机器人及智能无人装备自主研发、生产、销售、服务的创新型科技企业，公司以水面/水下通用机器人为主线，致力于通过持续的技术创新，构建0-10000米海洋超级生产力，打造世界领先的全水域战略科技力量","官网描述","https://seahi.com/","description: 世航智能是全球领先的海洋具身机器人公司，专注于海洋通用机器人及智能无人装备自主研发、生产、销售、服务的创新型科技企业，公司以水面/水下通用机器人为主线，致力于通过持续的技术创新，构建0-10000米海洋超级生产力，打造世界领先的全水域战略科技力量","","","","","已搜索并抓取官方来源","苏州世航智能科技有限公司 <https://smejs.cn/company_show.aspx?compid=e72867601b4d493ca08efa851d2bac8f> ; 世航智能官网⎜全球领先的海洋具身机器人公司 <https://seahi.com/> ; 世航智能 - 公司详情 - 公司简介 - innoHere英诺嘿呀 <https://www.innohere.com/ir/104522/general.html>","""世航智能"" 官网 ; ""世航智能"" 愿景 使命 价值观 ; ""世航智能"" 价值主张 口号 ; ""世航智能"" 公众号 使命","entities/世航智能.html"
"首形科技","从工具到伴侣的变革","显式字段","https://t.cj.sina.com.cn/articles/view/1729329625/671379d9001018j5w","04 未来愿景：从工具到伴侣的变革","","","","","蚂蚁集团领投，这家初创公司要让机器人“读懂”你的情绪！超仿生人脸露出微笑，30个自由度的面部表情背后，一套情绪基座模型正在默默工作。首形科技...","官网描述","https://t.cj.sina.com.cn/articles/view/1729329625/671379d9001018j5w","description: 蚂蚁集团领投，这家初创公司要让机器人“读懂”你的情绪！","","","","","已搜索并抓取官方来源","首形科技（杭州）有限公司 <https://job.hdu.edu.cn/company/view?id=893873> ; 人脸机器人首形科技完成新一轮过亿融资，蚂蚁集团领投首形 ... <https://t.cj.sina.com.cn/articles/view/1729329625/671379d9001018j5w>","""首形科技"" 官网 ; ""首形科技"" 愿景 使命 价值观 ; ""首形科技"" 价值主张 口号 ; ""首形科技"" 公众号 使命","entities/首形科技.html"
"数字华夏","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""数字华夏"" 官网 ; ""数字华夏"" 愿景 使命 价值观 ; ""数字华夏"" 价值主张 口号 ; ""数字华夏"" 公众号 使命","entities/数字华夏.html"
"双良睿能机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""双良睿能机器人"" 官网 ; ""双良睿能机器人"" 愿景 使命 价值观 ; ""双良睿能机器人"" 价值主张 口号 ; ""双良睿能机器人"" 公众号 使命","entities/双良睿能机器人.html"
"思灵机器人","","","","","","","","","企服精选为中小企业推荐的效率消费决策高质量的企业服务商","官网描述","http://www.jushenyanxishe.com/company-pick","description: 企服精选为中小企业推荐的效率消费决策高质量的企业服务商","","","","","已搜索并抓取官方来源","思灵机器人 | 具身研习社 <http://www.jushenyanxishe.com/company-pick/si-ling-ji-qi-ren> ; 思灵机器人-链接人工智能与物理世界 <https://www.agile-robots.cn/> ; 北京思灵机器人科技有限责任公司 <http://www.zgc-riic.com/enterprise/detail/470cc546-9b69-407f-92ee-184677e8a521> ; 思灵机器人 <https://www.smartchina-expo.cn/zbh/zs/xsztNew/h4/sljqr/index.html>","""思灵机器人"" 官网 ; ""思灵机器人"" 愿景 使命 价值观 ; ""思灵机器人"" 价值主张 口号 ; ""思灵机器人"" 公众号 使命","entities/思灵机器人.html"
"斯坦德机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""斯坦德机器人"" 官网 ; ""斯坦德机器人"" 愿景 使命 价值观 ; ""斯坦德机器人"" 价值主张 口号 ; ""斯坦德机器人"" 公众号 使命","entities/斯坦德机器人.html"
"松延动力","","","","","","","","","松延动力新闻资讯品牌活动专区，展示企业参与的行业展会、举办的生态战略大会、品牌交流活动等各类线下线上品牌活动，呈现企业产业布局与行业交流成果","官网描述","https://noetixrobotics.com/news/events","description: 松延动力新闻资讯品牌活动专区，展示企业参与的行业展会、举办的生态战略大会、品牌交流活动等各类线下线上品牌活动，呈现企业产业布局与行业交流成果","","","","","已搜索并抓取官方来源","Noetix Robotics - 北京松延动力科技集团股份有限公司 <https://noetixrobotics.com/> ; 松延动力（北京）科技有限公司 <http://noetixrobotics.163.wlfws.cn:8043/> ; 机器人“小孩哥”惊艳世界背后：松延动力的技术底气与商业 ... <https://www.aibangbots.com/a/5782> ; 松延动力_人形机器人_官网 - 大国Ai <https://daguoai.com/sites/1084.html>","""松延动力"" 官网 ; ""松延动力"" 愿景 使命 价值观 ; ""松延动力"" 价值主张 口号 ; ""松延动力"" 公众号 使命","entities/松延动力Noetix.html"
"苏度科技","","","","","","","","","成立不到一年，跻身“百亿估值俱乐部”","官网描述","https://www.aitntnews.com/newDetail.html?newId=24387","description: 成立不到一年，跻身“百亿估值俱乐部”","","","","","已搜索并抓取官方来源","上海，跑出一家百亿独角兽-苏度科技！ <https://www.aitntnews.com/newDetail.html?newId=24387> ; 20亿美金苏度科技具身首秀即大招！0真机数据，zero-shot ... <https://www.qbitai.com/2026/04/403543.html> ; 苏度科技 - 公司详情 - 公司简介 - innoHere英诺嘿呀 <https://www.innohere.com/ir/162974/general.html>","""苏度科技"" 官网 ; ""苏度科技"" 愿景 使命 价值观 ; ""苏度科技"" 价值主张 口号 ; ""苏度科技"" 公众号 使命","entities/苏度科技.html"
"它石智航","成为全球具身智能领域的领军企业","显式字段","https://www.robothub.app/zh/companies/homestone-intelligence","公司愿景是成为全球具身智能领域的领军企业","以物理世界AI和通用机器人技术为核心，构建可信赖的超级具身智能系统，让高性能AI规模化地融入人类社会的生产与生活中","显式字段","https://www.robothub.app/zh/companies/homestone-intelligence","公司使命是以物理世界AI和通用机器人技术为核心，构建可信赖的超级具身智能系统，让高性能AI规模化地融入人类社会的生产与生活中","AI驱动的具身智能技术公司，聚焦物理世界AI与通用机器人技术","显式字段","https://www.robothub.app/zh/companies/homestone-intelligence","2025年2月5日，它石智航正式成立，定位为AI驱动的具身智能技术公司，聚焦物理世界AI与通用机器人技术","","","","","已搜索并抓取官方来源","它石智航 | RobotHub <https://www.robothub.app/zh/companies/homestone-intelligence>","""它石智航"" 官网 ; ""它石智航"" 愿景 使命 价值观 ; ""它石智航"" 价值主张 口号 ; ""它石智航"" 公众号 使命","entities/它石智航.html"
"拓斯达","","","","","","","","","广东拓斯达科技股份有限公司(简称：拓斯达，股票代码�?00607)是一家登陆创业板的�","官网描述","https://topstarltd.gys.cn/company-information.html","description: 广东拓斯达科技股份有限公司(简称：拓斯达，股票代码�?","","","","","已搜索并抓取官方来源","企业介绍 - 广东拓斯达科技股份有限公司 <https://topstarltd.gys.cn/company-information.html> ; 拓斯达科技-具身智能丨工业机器人丨数控机床丨注塑机 <https://www.topstarltd.com/> ; 公司简介-拓斯达科技股份有限公司 - ycrusher <https://tsd18.ycrusher.com/intro.php> ; 广东拓斯达科技股份有限公司 <https://baike.eastmoney.com/item/%E5%B9%BF%E4%B8%9C%E6%8B%93%E6%96%AF%E8%BE%BE%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8>","""拓斯达"" 官网 ; ""拓斯达"" 愿景 使命 价值观 ; ""拓斯达"" 价值主张 口号 ; ""拓斯达"" 公众号 使命","entities/拓斯达.html"
"天创机器人","","","","","","","","","成立于2011年，是一家致力于提高人类安全感的具身智能机器人公司","官网正文","https://www.tetraelc.com/lists/6.html","成立于2011年，是一家致力于提高人类安全感的具身智能机器人公司","","","","","已搜索并抓取官方来源","天创机器人 <https://www.tetraelc.com/> ; 天创机器人 <https://www.tetrabot.com/en> ; 广州天机智能科技有限公司 <http://www.tetrobotics.cn/> ; 公司简介-天创机器人 <https://www.tetraelc.com/lists/82.html>","""天创机器人"" 官网 ; ""天创机器人"" 愿景 使命 价值观 ; ""天创机器人"" 价值主张 口号 ; ""天创机器人"" 公众号 使命","entities/天创机器人.html"
"天机智能","","","","","","","","","天机智能是一家机器人制造商服务公司,提供系统集成的解决方案,工业机器人,scara机器人,六轴机器人,协作机器人,食品机器人,垂直多关节机器人,机器人控制器等,专业的制造服务,欢迎来电咨询","官网描述","https://www.tianjizn.com/","description: 天机智能是一家机器人制造商服务公司,提供系统集成的解决方案,工业机器人,scara机器人,六轴机器人,协作机器人,食品机器人,垂直多关节机器人,机器人控制器等,专业的制造服务,欢迎来电咨询","","","","","已搜索并抓取官方来源","关于 – 人形机器人-人形力控臂-协作机器人-AI -天机机器人 – ... <https://www.tianjizn.com/en/about/> ; 人形机器人-人形力控臂-协作机器人-AI -天机机器人 – Tianji ... <https://www.tianjizn.com/> ; 广州天机智能科技有限公司 <http://www.tetrobotics.cn/> ; 移动共享充电机器人-广州天机智能科技有限公司 <http://www.tetrobotics.cn/lists/3.html>","""天机智能"" 官网 ; ""天机智能"" 愿景 使命 价值观 ; ""天机智能"" 价值主张 口号 ; ""天机智能"" 公众号 使命","entities/天机智能.html"
"天太机器人","","","","","","","","","天太自主研发产品包括：SCARA、六轴、并联、码垛等多种工业机器人及谐波减速机，拥有超过20项各类专利。为我会理事单位，欢迎大家垂询合作！","官网描述","http://www.dgria.cn/huiyuan/jieshao/lishi/928.html","description: 天太自主研发产品包括：SCARA、六轴、并联、码垛等多种工业机器人及谐波减速机，拥有超过20项各类专利","","","","","已搜索并抓取官方来源","广东天太机器人有限公司 - 东莞市机器人产业协会官网 <http://www.dgria.cn/huiyuan/jieshao/lishi/928.html> ; 天太机器人 <http://www.gdtiantai.com/>","""天太机器人"" 官网 ; ""天太机器人"" 愿景 使命 价值观 ; ""天太机器人"" 价值主张 口号 ; ""天太机器人"" 公众号 使命","entities/天太机器人.html"
"天元兴","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""天元兴"" 官网 ; ""天元兴"" 愿景 使命 价值观 ; ""天元兴"" 价值主张 口号 ; ""天元兴"" 公众号 使命","entities/天元兴.html"
"仝人智能","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""仝人智能"" 官网 ; ""仝人智能"" 愿景 使命 价值观 ; ""仝人智能"" 价值主张 口号 ; ""仝人智能"" 公众号 使命","entities/仝人智能.html"
"万勋科技","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""万勋科技"" 官网 ; ""万勋科技"" 愿景 使命 价值观 ; ""万勋科技"" 价值主张 口号 ; ""万勋科技"" 公众号 使命","entities/万勋科技.html"
"微亿智造","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""微亿智造"" 官网 ; ""微亿智造"" 愿景 使命 价值观 ; ""微亿智造"" 价值主张 口号 ; ""微亿智造"" 公众号 使命","entities/微亿智造.html"
"维他动力","","","","","","","","","企服精选为中小企业推荐的效率消费决策高质量的企业服务商","官网描述","http://www.jushenyanxishe.com/company-pick","description: 企服精选为中小企业推荐的效率消费决策高质量的企业服务商","","","","","已搜索并抓取官方来源","维他动力（北京）科技有限公司-展商信息-2026世界机器人 ... <https://www.worldrobotconference.com/expo/company/444.html> ; 维他动力 | 具身研习社 <http://www.jushenyanxishe.com/company-pick/wei-ta-dong-li> ; Vbot.cn - 维他动力北京科技有限公司 <https://vbot.cn/>","""维他动力"" 官网 ; ""维他动力"" 愿景 使命 价值观 ; ""维他动力"" 价值主张 口号 ; ""维他动力"" 公众号 使命","entities/维他动力.html"
"卧安机器人","","","","","","","","","卧安机器人（深圳）股份有限公司（OneRobotics）是全球领先的AI具身家庭机器人系统提供商，致力于构建以智能家庭机器人为核心的智能家庭生态系统","官网描述","https://www.robotsj.cn/brand/1354.html","description: 卧安机器人（深圳）股份有限公司（OneRobotics）是全球领先的AI具身家庭机器人系统提供商，致力于构建以智能家庭机器人为核心的智能家庭生态系统","","","","","已搜索并抓取官方来源","卧安机器人 <http://www.onerobot.com/cn/> ; 卧安机器人 - 机器人世界 <https://www.robotsj.cn/brand/1354.html> ; 卧安机器人（深圳）股份有限公司（switchbot) <https://highbay.cn/merchant/woanjiqirenshenzhengufenyouxiangongsiswitchbot/>","""卧安机器人"" 官网 ; ""卧安机器人"" 愿景 使命 价值观 ; ""卧安机器人"" 价值主张 口号 ; ""卧安机器人"" 公众号 使命","entities/卧安机器人.html"
"悟时创新","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""悟时创新"" 官网 ; ""悟时创新"" 愿景 使命 价值观 ; ""悟时创新"" 价值主张 口号 ; ""悟时创新"" 公众号 使命","entities/悟时创新.html"
"仙工智能","","","","","","","","","上海仙工智能科技有限公司（简称仙工智能或 SEER）由 RoboCup 世界冠军团队创立�","官网描述","https://seergroup.gys.cn/company-information.html","description: 上海仙工智能科技有限公司（简称仙工智能或 SEER）由 RoboCup 世界冠军团队创立�","","","","","已搜索并抓取官方来源","上海仙工智能科技股份有限公司 - seer-group.com <https://seer-robotics.ai/zh/about-us?lang=zh> ; 企业介绍 - 上海仙工智能科技有限公司 <https://seergroup.gys.cn/company-information.html> ; 关于我们_上海仙工智能科技有限公司 <https://seergroup.b2b168.com/home.aspx>","""仙工智能"" 官网 ; ""仙工智能"" 愿景 使命 价值观 ; ""仙工智能"" 价值主张 口号 ; ""仙工智能"" 公众号 使命","entities/仙工智能.html"
"橡树清溪科技","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""橡树清溪科技"" 官网 ; ""橡树清溪科技"" 愿景 使命 价值观 ; ""橡树清溪科技"" 价值主张 口号 ; ""橡树清溪科技"" 公众号 使命","entities/橡树清溪科技.html"
"小雨智造","","","","","","","","","独特“幸运星”ID设计，打造数字系列史上最精致外观","官网正文","https://www.qbitai.com/category/%e8%b5%84%e8%ae%af","独特“幸运星”ID设计，打造数字系列史上最精致外观","","","","","已搜索并抓取官方来源","小雨智造：小米系首家工业具身大模型公司崛起，“国家队 ... <https://www.qbitai.com/2024/12/231761.html>","""小雨智造"" 官网 ; ""小雨智造"" 愿景 使命 价值观 ; ""小雨智造"" 价值主张 口号 ; ""小雨智造"" 公众号 使命","entities/小雨智造.html"
"斜跃智能","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""斜跃智能"" 官网 ; ""斜跃智能"" 愿景 使命 价值观 ; ""斜跃智能"" 价值主张 口号 ; ""斜跃智能"" 公众号 使命","entities/斜跃智能.html"
"心图机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""心图机器人"" 官网 ; ""心图机器人"" 愿景 使命 价值观 ; ""心图机器人"" 价值主张 口号 ; ""心图机器人"" 公众号 使命","entities/心图机器人.html"
"新奇机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""新奇机器人"" 官网 ; ""新奇机器人"" 愿景 使命 价值观 ; ""新奇机器人"" 价值主张 口号 ; ""新奇机器人"" 公众号 使命","entities/新奇机器人.html"
"新松机器人","","","","","","","","","分销新松机器人，新松工业机器人，新松协作机器人等，提供专业的售前，售中和售后服务，为您企业在自动化领域保驾护航!","官网描述","http://siasun.weisizhineng.com/company/","description: 分销新松机器人，新松工业机器人，新松协作机器人等，提供专业的售前，售中和售后服务，为您企业在自动化领域保驾护航!","","","","","已搜索并抓取官方来源","新松机器人|新松工业机器人|新松机器人官网 <http://siasun.weisizhineng.com/company/> ; 新松机器人 - 中国机器人产业化基地，工业/移动/特种机器人及 ... <https://www.siasun.com/> ; 沈阳新松机器人自动化股份有限公司 <http://siasunagv.com/> ; 青岛新松机器人自动化有限公司 <https://www.qdsiasun.com/>","""新松机器人"" 官网 ; ""新松机器人"" 愿景 使命 价值观 ; ""新松机器人"" 价值主张 口号 ; ""新松机器人"" 公众号 使命","entities/新松机器人.html"
"星尘智能","让数十亿人拥有AI机器人助理，我们的使命是推动人机共存、共创、共赢","显式字段","https://www.worldrobotconference.com/expo/company/441.html","description: 星尘智能（Astribot）于2022年底在深圳成立，我们的愿景是让数十亿人拥有AI机器人助理，我们的使命是推动人机共存、共创、共赢","推动人机共存、共创、共赢","显式字段","https://www.worldrobotconference.com/expo/company/441.html","description: 星尘智能（Astribot）于2022年底在深圳成立，我们的愿景是让数十亿人拥有AI机器人助理，我们的使命是推动人机共存、共创、共赢","星尘智能（Astribot）于2022年底在深圳成立，我们的愿景是让数十亿人拥有AI机器人助理，我们的使命是推动人机共存、共创、共赢","官网描述","https://www.worldrobotconference.com/expo/company/441.html","description: 星尘智能（Astribot）于2022年底在深圳成立，我们的愿景是让数十亿人拥有AI机器人助理，我们的使命是推动人机共存、共创、共赢","","","","","已搜索并抓取官方来源","星尘智能（深圳）有限公司-展商信息-2026世界机器人大会 ... <https://www.worldrobotconference.com/expo/company/441.html> ; 星尘智能（深圳）有限公司 - - <https://www.im-robot.com/nd.jsp?id=234>","""星尘智能"" 官网 ; ""星尘智能"" 愿景 使命 价值观 ; ""星尘智能"" 价值主张 口号 ; ""星尘智能"" 公众号 使命","entities/星尘智能.html"
"星动纪元","","","","","","","","","企服精选为中小企业推荐的效率消费决策高质量的企业服务商","官网描述","http://www.jushenyanxishe.com/company-pick","description: 企服精选为中小企业推荐的效率消费决策高质量的企业服务商","","","","","已搜索并抓取官方来源","北京星动纪元 | 行业唯一软硬件全栈自研具身智能 <https://www.robotera.com/> ; 星动纪元 | 具身研习社 <http://www.jushenyanxishe.com/company-pick/xing-dong-ji-yuan>","""星动纪元"" 官网 ; ""星动纪元"" 愿景 使命 价值观 ; ""星动纪元"" 价值主张 口号 ; ""星动纪元"" 公众号 使命","entities/星动纪元.html"
"星海图","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""星海图"" 官网 ; ""星海图"" 愿景 使命 价值观 ; ""星海图"" 价值主张 口号 ; ""星海图"" 公众号 使命","entities/星海图.html"
"星源智机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""星源智机器人"" 官网 ; ""星源智机器人"" 愿景 使命 价值观 ; ""星源智机器人"" 价值主张 口号 ; ""星源智机器人"" 公众号 使命","entities/星源智机器人.html"
"璇玑动力","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""璇玑动力"" 官网 ; ""璇玑动力"" 愿景 使命 价值观 ; ""璇玑动力"" 价值主张 口号 ; ""璇玑动力"" 公众号 使命","entities/璇玑动力.html"
"亚历山大智能","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""亚历山大智能"" 官网 ; ""亚历山大智能"" 愿景 使命 价值观 ; ""亚历山大智能"" 价值主张 口号 ; ""亚历山大智能"" 公众号 使命","entities/亚历山大智能.html"
"一立方机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""一立方机器人"" 官网 ; ""一立方机器人"" 愿景 使命 价值观 ; ""一立方机器人"" 价值主张 口号 ; ""一立方机器人"" 公众号 使命","entities/一立方机器人.html"
"易择智擎","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""易择智擎"" 官网 ; ""易择智擎"" 愿景 使命 价值观 ; ""易择智擎"" 价值主张 口号 ; ""易择智擎"" 公众号 使命","entities/易择智擎.html"
"逸璟科技","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""逸璟科技"" 官网 ; ""逸璟科技"" 愿景 使命 价值观 ; ""逸璟科技"" 价值主张 口号 ; ""逸璟科技"" 公众号 使命","entities/逸璟科技.html"
"银河通用机器人","成为全球AI用户的首选导航平台，连接AI开发者与使用者，促进AI技术的普及与创新","显式字段","https://daguoai.com/about","大国AI导航网的愿景是成为全球AI用户的首选导航平台，连接AI开发者与使用者，促进AI技术的普及与创新","","","","","我们采用多维度分类体系，既按功能...","显式字段","https://daguoai.com/about","分类清晰，精准定位：我们采用多维度分类体系，既按功能...","","","","","已搜索并抓取官方来源","银河通用机器人 | RobotHub <https://www.robothub.app/zh/companies/galbot> ; 银河通用_机器人_官网 - 大国Ai <https://daguoai.com/sites/1318.html>","""银河通用机器人"" 官网 ; ""银河通用机器人"" 愿景 使命 价值观 ; ""银河通用机器人"" 价值主张 口号 ; ""银河通用机器人"" 公众号 使命","entities/银河通用机器人.html"
"优艾智合","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""优艾智合"" 官网 ; ""优艾智合"" 愿景 使命 价值观 ; ""优艾智合"" 价值主张 口号 ; ""优艾智合"" 公众号 使命","entities/优艾智合.html"
"优宝特机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""优宝特机器人"" 官网 ; ""优宝特机器人"" 愿景 使命 价值观 ; ""优宝特机器人"" 价值主张 口号 ; ""优宝特机器人"" 公众号 使命","entities/优宝特机器人.html"
"优必选","","","","","","","","","全球首次！人形机器人敲锣，优必选在港交所主板挂牌上市","官网描述","https://www.ubtrobot.com/cn/about/news/498753993400389","全球首次！人形机器人敲锣，优必选在港交所主板挂牌上市","","","","","已搜索并抓取官方来源","UBTECH 优必选官网-智能服务机器人领导者 <https://www.ubtrobot.com/cn/>","""优必选"" 官网 ; ""优必选"" 愿景 使命 价值观 ; ""优必选"" 价值主张 口号 ; ""优必选"" 公众号 使命","entities/优必选.html"
"优理奇","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""优理奇"" 官网 ; ""优理奇"" 愿景 使命 价值观 ; ""优理奇"" 价值主张 口号 ; ""优理奇"" 公众号 使命","entities/优理奇UniX-AI.html"
"有鹿机器人","","","","","","","","","公司专注于大模型+具身智能领域，依托于自主研发的第二代具身智能技术LPLM大模型，打造软硬件高度适配与可泛化的通用智能大脑，致力于让每一台专业设备都拥有智能性","官网正文","https://www.smartchina-expo.cn/zbh/zs/xsztNew/h4/zjyljqrkjyxgs/index.html","公司专注于大模型+具身智能领域，依托于自主研发的第二代具身智能技术LPLM大模型，打造软硬件高度适配与可泛化的通用智能大脑，致力于让每一台专业设备都拥有智能性","","","","","已搜索并抓取官方来源","关于UDEER <https://udeer.ai/about> ; UDEER.AI有鹿机器人 | 有大脑，才聪明 <https://udeerai.com/> ; 广州有鹿智能科技有限公司 <http://www.gzylai.com.cn/> ; 浙江有鹿机器人科技有限公司 <https://www.smartchina-expo.cn/zbh/zs/xsztNew/h4/zjyljqrkjyxgs/index.html>","""有鹿机器人"" 官网 ; ""有鹿机器人"" 愿景 使命 价值观 ; ""有鹿机器人"" 价值主张 口号 ; ""有鹿机器人"" 公众号 使命","entities/有鹿机器人.html"
"宇树科技","","","","","","","","","杭州宇树科技有限公司（宇树Unitree）介绍","官网描述","http://unitree.corp.dav01.com/article/2023/09/a60269.html","description: 杭州宇树科技有限公司（宇树Unitree）介绍","","","","","已搜索并抓取官方来源","宇树科技Unitree_世界知名的专业机器人的研发、制造企业 ... <http://unitree.corp.dav01.com/index.html>","""宇树科技"" 官网 ; ""宇树科技"" 愿景 使命 价值观 ; ""宇树科技"" 价值主张 口号 ; ""宇树科技"" 公众号 使命","entities/宇树科技.html"
"玉树智能机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""玉树智能机器人"" 官网 ; ""玉树智能机器人"" 愿景 使命 价值观 ; ""玉树智能机器人"" 价值主张 口号 ; ""玉树智能机器人"" 公众号 使命","entities/玉树智能机器人.html"
"源络科技","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""源络科技"" 官网 ; ""源络科技"" 愿景 使命 价值观 ; ""源络科技"" 价值主张 口号 ; ""源络科技"" 公众号 使命","entities/源络科技.html"
